House Type,Number of Stories,Soft Story,SAT1(g),Code Type,Nonelastic_SD(in),Neighborhood ,,,,,,
1,2,0,0.216070703,3,0.717481591,0,,,,,neighborhood ,
1,3,0,0.327609457,2,1.074281464,0,,,,,koreatown ,0
1,1,0,0.164364862,3,0.324598892,0,,,,,East Hollywood,1
1,1,0,0.164364862,3,0.324598892,0,,,,,Pico Union,2
1,3,0,0.327609457,2,1.074281464,0,,,,,Westlake,3
1,2,0,0.216070703,3,0.717481591,0,,,,,Lomita,4
1,2,0,0.216070703,3,0.717481591,0,,,,,,
1,3,0,0.327609457,3,1.074281464,0,,,,,,
1,5,2,0.356730095,1,1.444497677,0,,,,,,
1,4,0,0.284501313,2,1.052189346,0,,,,,,
1,4,2,0.338633422,2,1.252389578,0,,,,,,
1,6,2,0.299881845,1,1.354980439,0,,,,,,
1,6,2,0.299881845,1,1.354980439,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,4,2,0.284501313,1,1.052189346,0,,,,,,
1,4,0,0.284501313,3,1.052189346,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,4,0,0.284501313,3,1.052189346,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,3,0,0.223952728,2,0.734375212,0,,,,,,
1,4,2,0.284501313,2,1.052189346,0,,,,,,
1,3,0,0.223952728,1,0.734375212,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
1,4,2,0.284501313,1,1.052189346,0,,,,,,
1,4,2,0.284501313,3,1.052189346,0,,,,,,
1,6,0,0.299881845,2,1.354980439,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
1,5,0,0.307947861,2,1.246965079,0,,,,,,
1,4,2,0.284501313,1,1.052189346,0,,,,,,
1,4,2,0.284501313,1,1.052189346,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
1,2,0,0.216675566,1,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,3,0,0.223952728,1,0.734375212,0,,,,,,
1,4,2,0.284501313,1,1.052189346,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,1,0.719490091,0,,,,,,
0,2,0,0.216675566,2,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,2,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
1,5,2,0.307947861,3,1.246965079,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,3,0,0.223952728,3,0.734375212,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,4,0,0.284501313,3,1.052189346,0,,,,,,
1,4,2,0.284501313,2,1.052189346,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
1,3,2,0.223952728,3,0.734375212,0,,,,,,
1,4,2,0.284501313,2,1.052189346,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
1,5,2,0.307947861,1,1.246965079,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
1,2,0,0.216675566,1,0.719490091,0,,,,,,
1,3,2,0.223952728,2,0.734375212,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
0,2,0,0.216675566,3,0.719490091,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,5,0,0.307947861,3,1.246965079,0,,,,,,
1,5,0,0.307947861,3,1.246965079,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,2,0,0.216675566,1,0.719490091,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,2,0,0.216675566,1,0.719490091,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,2,0,0.216675566,1,0.719490091,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,2,0,0.216675566,1,0.719490091,0,,,,,,
1,2,0,0.216675566,2,0.719490091,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
1,2,0,0.216675566,3,0.719490091,0,,,,,,
